Date,3DF,FLB,ADM,JMV,LVE
1/1/2019,,,,,20
1/6/2019,,,,20,
1/13/2019,,,,20,
1/20/2019,,,,20,
1/27/2019,,,,20,
2/3/2019,,,,20,
2/10/2020,,,,,20
2/17/2019,,,,,20
2/24/2019,,,,,20
3/3/2019,,,,20,
3/10/2019,40,,,,
3/17/2019,,,,20,
3/24/2021,16,,24,,
7/7/2019,40,,,,
7/14/2019,,,40,,
7/21/2019,60,,,,
7/28/2019,,50,,,
8/4/2019,,,24,,16
8/11/2019,,,32,8,
8/18/2019,16,,8,,16
8/25/2019,,8,24,,8
9/1/2019,,70,,,
9/8/2019,,38,24,8,
9/15/2019,70,,,,
9/22/2019,,,32,8,
9/29/2019,,,32,8,
10/6/2019,4,4,,32,
10/13/2019,,24,16,,
10/20/2019,,,24,,16
10/27/2019,,,40,,
11/3/2019,,,40,,
11/10/2019,,,40,,
11/17/2019,,,24,,16
11/24/2019,,,32,,8
12/1/2019,40,,,,
12/8/2019,20,,20,,
12/15/2019,,,,,40
12/22/2019,,,40,,
12/29/2019,,,16,,
