code,project name,pi
ADM,Administrative work (includes training),All
TRN,Training,All
LVE,"Leave (Holiday, Sick Leave, Annual Leave)",All
FSB,Fort Stewart Burns,Watts
X3DF,3D Fuels Characterization,Prichard
FLB,FASMEE/Fish Lake Rx Burns,Watts
UAV,Drone Demonstration,Mell
CCR,Carlton Complex 7-Year Re-measure Project,Peterson
JMV,Miscellaneous work for Morgan Varner,Varner
MJO,Miscellaneous work for Morris Johnson,Johnson
RUD,Miscellaneous work for Ruddy Mell,Mell
ROG,Miscellaneous work for Roger Ottmar,Ottmar
PHD,Cronan PhD,Cronan
